SMILES,NAME,i_m_ct_format,i_sd_PUBCHEM\_COMPOUND\_CID,s_sd_PUBCHEM\_IUPAC\_INCHI,s_sd_PUBCHEM\_IUPAC\_INCHIKEY,r_sd_PUBCHEM\_EXACT\_MASS,s_sd_PUBCHEM\_MOLECULAR\_FORMULA,r_sd_PUBCHEM\_MOLECULAR\_WEIGHT,r_sd_PUBCHEM\_CACTVS\_TPSA,i_sd_Reference_for_HalfLife\_AID\_num,i_sd_Stable,r_sd_Half-Life_in_MLM_minutes,s_sd_PUBCHEM\_IUPAC\_NAME,s_sd_PUBCHEM\_IUPAC\_TRADITIONAL\_NAME,b_sd_chiral_flag,i_sd_version,s_m_source_file,i_m_source_file_index,i_lp_mmshare_version,i_f3d_flags,s_epik_input,s_epik_cmdline,r_lp_tautomer_probability,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_epik_Charging_Adjusted_Penalty,i_epik_Tot_Q,i_epik_Tot_abs_Q,s_st_EZ_1,s_st_EZ_2,s_lp_Force_Field,r_lp_Energy,b_lp_Chiralities_Consistent,s_lp_Variant,r_mmod_Potential_Energy-S-OPLS,r_mmod_Stretch_Energy-S-OPLS,r_mmod_Bend_Energy-S-OPLS,r_mmod_Torsional_Energy-S-OPLS,r_mmod_Improper_Torsional_Energy-S-OPLS,r_mmod_Van_der_Waal_Energy-S-OPLS,r_mmod_Electrostatic_Energy-S-OPLS,r_mmod_Solvation_Energy-S-OPLS,b_mmod_Minimization_Converged-S-OPLS,r_mmod_RMS_Derivative-S-OPLS,i_sd_Name,r_sd_PUBCHEM\_XLOGP3\_AA,s_sd_Qualifier_for_MLM_HalfLife,s_epik_Chemistry_Notes,i_qp_#stars,i_qp_#amine,i_qp_#amidine,i_qp_#acid,i_qp_#amide,i_qp_#rotor,i_qp_#rtvFG,i_qp_CNS,r_qp_mol_MW,r_qp_dipole,r_qp_SASA,r_qp_FOSA,r_qp_FISA,r_qp_PISA,r_qp_WPSA,r_qp_volume,r_qp_donorHB,r_qp_accptHB,r_qp_dip^2/V,r_qp_ACxDN^.5/SA,r_qp_glob,r_qp_QPpolrz,r_qp_QPlogPC16,r_qp_QPlogPoct,r_qp_QPlogPw,r_qp_QPlogPo/w,r_qp_QPlogS,r_qp_CIQPlogS,r_qp_QPlogHERG,r_qp_QPPCaco,r_qp_QPlogBB,r_qp_QPPMDCK,r_qp_QPlogKp,r_qp_IP(eV),r_qp_EA(eV),i_qp_#metab,r_qp_QPlogKhsa,i_qp_HumanOralAbsorption,r_qp_PercentHumanOralAbsorption,r_qp_SAfluorine,r_qp_SAamideO,r_qp_PSA,i_qp_#NandO,i_qp_RuleOfFive,i_qp_RuleOfThree,i_qp_#ringatoms,i_qp_#in34,i_qp_#in56,i_qp_#noncon,i_qp_#nonHatm,r_qp_Jm
c1ncccc1-c(cc2)ccc2C(=O)Nc3ccc(cc3)N(CC4)CCN4CC,71762285,2,71762285,"InChI=1S/C24H26N4O/c1-2-27-14-16-28(17-15-27)23-11-9-22(10-12-23)26-24(29)20-7-5-19(6-8-20)21-4-3-13-25-18-21/h3-13,18H,2,14-17H2,1H3,(H,26,29)",JODWAKUMHSELQZ-UHFFFAOYSA-N,386.210661,C24H26N4O,386.48944,48.5,759987,0,29.2,N-[4-(4-ethylpiperazin-1-yl)phenyl]-4-pyridin-3-ylbenzamide,N-[4-(4-ethylpiperazino)phenyl]-4-(3-pyridyl)benzamide,0,0,ligprep_3.sdf,373,55137,0,W2NIXTFuW2NIXVtjSF1bY0hdYzEtYyhbY0hdW2NIXTIpW2NIXVtjSF1jMkMoPU8pW05IXWMoW2NIXVtjSF0zKVtjSF1bY0hdYzNOKFtDSDJdW0NIMl00KVtDSDJdW0NIMl1ONFtDSDJdW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.0635,0.0,1.0635,1.1136,1.11355114307569,0,0,,,S-OPLS,62.80851,1,71762285-2,114.27001953125,23.8524875640869,31.6027565002441,52.5904350280762,-2.33047294616699,166.146179199219,-73.3327560424805,-84.2585983276367,1,0.0372801944613457,71762285,,,,0,1,0,0,0,4,0,1,386.496,6.173,752.67,261.929,77.187,413.554,0.0,1316.983,1.0,7.0,0.0289353,0.0093002,0.7719942,47.933,14.292,21.424,12.346,4.014,-5.472,-4.404,-7.92,457.968,-0.143,235.306,-3.164,7.997,0.835,4,0.617,3,100.0,0.0,0.0,57.565,5,0,0,24,0,24,4,29,0.000893114733825428
n1ccccc1-c(cc2)ccc2C(=O)Nc3ccc(cc3)N(CC4)CCN4CC,71762284,2,71762284,"InChI=1S/C24H26N4O/c1-2-27-15-17-28(18-16-27)22-12-10-21(11-13-22)26-24(29)20-8-6-19(7-9-20)23-5-3-4-14-25-23/h3-14H,2,15-18H2,1H3,(H,26,29)",ZSTGWKVANQXSPG-UHFFFAOYSA-N,386.210661,C24H26N4O,386.48944,48.5,759987,0,27.0,N-[4-(4-ethylpiperazin-1-yl)phenyl]-4-pyridin-2-ylbenzamide,N-[4-(4-ethylpiperazino)phenyl]-4-(2-pyridyl)benzamide,0,0,ligprep_3.sdf,374,55137,0,W2NIXTFbY0hdW2NIXVtjSF1uYzEtYyhbY0hdW2NIXTIpW2NIXVtjSF1jMkMoPU8pW05IXWMoW2NIXVtjSF0zKVtjSF1bY0hdYzNOKFtDSDJdW0NIMl00KVtDSDJdW0NIMl1ONFtDSDJdW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.0631,0.0,1.0631,1.1136,1.11355114307569,0,0,,,S-OPLS,64.415935,1,71762284-2,126.954879760742,23.9869728088379,31.6352691650391,56.387638092041,-2.33632183074951,166.992553710938,-66.31640625,-83.3948287963867,1,0.0428944826126099,71762284,,,,0,1,0,0,0,4,0,1,386.496,5.474,755.514,262.007,62.905,430.602,0.0,1319.81,1.0,6.5,0.0226998,0.0086034,0.7701879,48.209,14.348,21.114,11.879,4.364,-5.718,-4.604,-8.03,625.56,0.014,329.625,-2.841,7.948,0.763,3,0.729,3,100.0,0.0,0.0,55.56,5,0,1,24,0,24,4,29,0.00106691799227811
c1ccccc1-c(cc2)ccc2C(=O)Nc3ccc(cc3)N(CC4)CCN4C(C)C,71292390,2,71292390,"InChI=1S/C26H29N3O/c1-20(2)28-16-18-29(19-17-28)25-14-12-24(13-15-25)27-26(30)23-10-8-22(9-11-23)21-6-4-3-5-7-21/h3-15,20H,16-19H2,1-2H3,(H,27,30)",MFGUHCMIQYGCHW-UHFFFAOYSA-N,399.231063,C26H29N3O,399.52796,35.6,759987,1,60.0,4-phenyl-N-[4-(4-propan-2-ylpiperazin-1-yl)phenyl]benzamide,N-[4-(4-isopropylpiperazino)phenyl]-4-phenyl-benzamide,0,0,ligprep_3.sdf,375,55137,0,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzEtYyhbY0hdW2NIXTIpW2NIXVtjSF1jMkMoPU8pW05IXWMoW2NIXVtjSF0zKVtjSF1bY0hdYzNOKFtDSDJdW0NIMl00KVtDSDJdW0NIMl1ONFtDSF0oW0NIM10pW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.3794,0.0,1.3794,1.4584,1.4583722501507,0,0,,,S-OPLS,64.095224,1,71292390-2,72.3631591796875,24.6703815460205,36.4938621520996,52.9110641479492,-2.43850326538086,169.868087768555,-136.705764770508,-72.4359664916992,1,0.0291018038988113,71292390,5.1,>,,1,1,0,0,0,4,0,1,399.535,4.627,780.086,284.732,47.572,447.781,0.0,1378.742,1.0,5.5,0.0155297,0.0070505,0.7679709,50.731,14.941,21.316,10.966,5.292,-6.552,-5.27,-8.148,874.321,0.183,473.351,-2.497,7.948,0.628,2,1.1,1,100.0,0.0,0.0,44.246,4,1,1,24,0,24,4,30,0.000356156917855173
n1ccccc1-c(cc2)ccc2C(=O)Nc(cc3)cc(F)c3N(CC4)CCN4C(C)C,71292346,2,71292346,"InChI=1S/C25H27FN4O/c1-18(2)29-13-15-30(16-14-29)24-11-10-21(17-22(24)26)28-25(31)20-8-6-19(7-9-20)23-5-3-4-12-27-23/h3-12,17-18H,13-16H2,1-2H3,(H,28,31)",LGPADHPVOUDZNG-UHFFFAOYSA-N,418.21689,C25H27FN4O,418.506483,48.5,759987,1,60.0,N-[3-fluoro-4-(4-propan-2-ylpiperazin-1-yl)phenyl]-4-pyridin-2-ylbenzamide,N-[3-fluoro-4-(4-isopropylpiperazino)phenyl]-4-(2-pyridyl)benzamide,0,0,ligprep_3.sdf,376,55137,0,W0NIM11bQ0hdKFtDSDNdKU4xW0NIMl1bQ0gyXU4oW0NIMl1bQ0gyXTEpYzJjKEYpW2NIXWMoW2NIXVtjSF0yKVtOSF1DKD1PKWMzW2NIXVtjSF1jKFtjSF1bY0hdMyktYzRuW2NIXVtjSF1bY0hdW2NIXTQ=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.3802,0.0,1.3802,1.4584,1.4583722501507,0,0,,,S-OPLS,66.234778,1,71292346-2,122.856079101563,27.1435527801514,36.7665824890137,44.1769828796387,-2.49646639823914,179.711715698242,-84.720832824707,-77.7254486083984,1,0.049035333096981,71292346,4.2,>,,0,1,0,0,0,4,0,1,418.513,8.165,781.129,281.963,61.117,406.335,31.713,1381.347,1.0,6.5,0.0482574,0.0083213,0.7679108,50.44,14.564,22.361,11.775,4.858,-6.314,-5.252,-7.951,650.466,0.108,512.948,-2.893,8.158,0.843,2,0.896,1,100.0,31.713,0.0,55.048,5,0,1,24,0,24,4,31,0.000259850178818284
n1ccccc1-c(cc2)ccc2C(=O)Nc(nc3)ccc3N(CC4)CCN4C(C)C,71292345,2,71292345,"InChI=1S/C24H27N5O/c1-18(2)28-13-15-29(16-14-28)21-10-11-23(26-17-21)27-24(30)20-8-6-19(7-9-20)22-5-3-4-12-25-22/h3-12,17-18H,13-16H2,1-2H3,(H,26,27,30)",LAXDQTSFVDFBFM-UHFFFAOYSA-N,401.221561,C24H27N5O,401.50408,61.4,759987,1,60.0,N-[5-(4-propan-2-ylpiperazin-1-yl)pyridin-2-yl]-4-pyridin-2-ylbenzamide,N-[5-(4-isopropylpiperazino)-2-pyridyl]-4-(2-pyridyl)benzamide,0,0,ligprep_3.sdf,377,55137,0,W2NIXTFbY0hdW2NIXVtjSF1uYzEtYyhbY0hdW2NIXTIpW2NIXVtjSF1jMkMoPU8pW05IXWMobltjSF0zKVtjSF1bY0hdYzNOKFtDSDJdW0NIMl00KVtDSDJdW0NIMl1ONFtDSF0oW0NIM10pW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,1.3084,0.0,1.3084,1.3805,1.38051246341236,0,0,,,S-OPLS,67.068398,1,71292345-2,69.6235809326172,26.3194236755371,34.8409881591797,55.4050941467285,-2.24649357795715,179.940048217773,-132.410690307617,-92.2247924804688,1,0.048703096807003,71292345,3.3,>,,0,1,0,0,0,4,0,1,401.51,7.442,774.317,285.886,77.814,410.617,0.0,1362.58,1.0,7.5,0.0406513,0.009686,0.7676339,49.729,14.739,22.473,12.875,4.077,-5.659,-4.505,-7.976,451.742,-0.159,231.85,-3.186,8.125,0.744,3,0.633,3,100.0,0.0,0.0,66.871,6,0,0,24,0,24,4,30,0.000573574513633235
n1ccccc1-c(cc2)ccc2C(=O)Nc3ccc(cc3)N(CC4)CCN4C(C)C,71292331,2,71292331,"InChI=1S/C25H28N4O/c1-19(2)28-15-17-29(18-16-28)23-12-10-22(11-13-23)27-25(30)21-8-6-20(7-9-21)24-5-3-4-14-26-24/h3-14,19H,15-18H2,1-2H3,(H,27,30)",MSKVHNZMTLZJHI-UHFFFAOYSA-N,400.226312,C25H28N4O,400.51602,48.5,759987,1,60.0,N-[4-(4-propan-2-ylpiperazin-1-yl)phenyl]-4-pyridin-2-ylbenzamide,N-[4-(4-isopropylpiperazino)phenyl]-4-(2-pyridyl)benzamide,0,0,ligprep_3.sdf,378,55137,0,W2NIXTFbY0hdW2NIXVtjSF1uYzEtYyhbY0hdW2NIXTIpW2NIXVtjSF1jMkMoPU8pW05IXWMoW2NIXVtjSF0zKVtjSF1bY0hdYzNOKFtDSDJdW0NIMl00KVtDSDJdW0NIMl1ONFtDSF0oW0NIM10pW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.3815,0.0,1.3815,1.4584,1.4583722501507,0,0,,,S-OPLS,66.352433,1,71292331-2,74.7348861694336,25.827091217041,36.7406425476074,55.8465194702148,-2.43805265426636,176.649520874023,-138.358001708984,-79.532844543457,1,0.0487847924232483,71292331,4.1,>,,0,1,0,0,0,4,0,1,400.522,3.575,776.982,284.846,61.187,430.948,0.0,1369.831,1.0,6.5,0.0093292,0.0083657,0.7677131,50.214,14.834,21.626,11.921,4.692,-6.102,-4.887,-8.072,649.479,0.029,343.269,-2.808,7.935,0.766,3,0.864,3,100.0,0.0,0.0,55.206,5,0,1,24,0,24,4,30,0.000493694598917552
c1ccccc1-c(cc2)ccc2C(=O)Nc3ccc(cc3)N(CC4)CCN4CC,1048491,2,1048491,"InChI=1S/C25H27N3O/c1-2-27-16-18-28(19-17-27)24-14-12-23(13-15-24)26-25(29)22-10-8-21(9-11-22)20-6-4-3-5-7-20/h3-15H,2,16-19H2,1H3,(H,26,29)",IQSRELXCMBCXED-UHFFFAOYSA-N,385.215412,C25H27N3O,385.50138,35.6,759987,0,19.0,N-[4-(4-ethylpiperazin-1-yl)phenyl]-4-phenylbenzamide,N-[4-(4-ethylpiperazino)phenyl]-4-phenyl-benzamide,0,0,ligprep_3.sdf,379,55137,0,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzEtYyhbY0hdW2NIXTIpW2NIXVtjSF1jMkMoPU8pW05IXWMoW2NIXVtjSF0zKVtjSF1bY0hdYzNOKFtDSDJdW0NIMl00KVtDSDJdW0NIMl1ONFtDSDJdW0NIM10=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.061,0.0,1.061,1.1136,1.11355114307569,0,0,,,S-OPLS,64.853019,1,1048491-2,124.935440063477,22.7764987945557,30.9228076934814,54.036075592041,-2.32326889038086,160.074325561523,-65.4933319091797,-75.0576705932617,1,0.0413363762199879,1048491,4.7,,,0,1,0,0,0,4,0,1,385.508,5.29,758.707,261.913,49.046,447.748,0.0,1328.784,1.0,5.5,0.0210597,0.0072492,0.7704196,48.732,14.457,20.697,10.924,4.965,-6.167,-4.984,-8.108,846.629,0.17,457.167,-2.525,7.954,0.629,2,0.964,3,100.0,0.0,0.0,44.621,4,0,1,24,0,24,4,29,0.000783622591356101
C[N@@H+](C1)CCC[C@H]1C(=O)N[C@H](C(=O)Nc2ccncc2)Cc3c[nH]c(c34)cccc4,73346317,2,73346317,"InChI=1S/C23H27N5O2.ClH/c1-28-12-4-5-16(15-28)22(29)27-21(23(30)26-18-8-10-24-11-9-18)13-17-14-25-20-7-3-2-6-19(17)20;/h2-3,6-11,14,16,21,25H,4-5,12-13,15H2,1H3,(H,27,29)(H,24,26,30);1H/t16?,21-;/m0./s1",OFMSWELJBHMIPJ-SKESHXMVSA-N,441.193153,C23H28ClN5O2,441.95372,90.1,774153,0,11.0,N-[(2S)-3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl]-1-methylpiperidine-3-carboxamide;hydrochloride,N-[(1S)-1-(1H-indol-3-ylmethyl)-2-keto-2-(4-pyridylamino)ethyl]-1-methyl-nipecotamide;hydrochloride,1,0,ligprep_3.sdf,380,55137,0,W2NIXTFbY0hdbltjSF1bY0hdYzFbTkhdQyg9TylbQ0BASF0oW05IXUMoPU8pW0NASF0oW0NIMl1bQ0gyXVtDSDJdMilbQ0gyXU4yW0NIM10pW0NIMl1jM1tjSF1bbkhdYyhjMzQpW2NIXVtjSF1bY0hdW2NIXTQ=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,0.0064,0.0034,0.003,-0.0,0.00344208391647048,1,1,,,S-OPLS,39.477056,1,73346317-2,-72.1425552368164,16.7384948730469,46.3258628845215,21.6593036651611,0.32533472776413,82.926383972168,33.7273750305176,-273.845306396484,1,0.0431546159088612,73346317,,,,0,1,0,0,1,6,0,0,405.499,9.297,684.299,288.194,93.181,302.923,0.0,1283.611,2.25,7.75,0.0673417,0.0169882,0.8347215,44.256,13.431,22.987,14.812,2.531,-3.212,-3.575,-5.003,243.128,-0.291,161.322,-3.656,8.751,0.406,6,0.016,3,84.468,0.0,15.494,93.116,7,0,0,21,0,21,5,30,0.05489564639295
c1cccc(c12)[nH]cc2C[C@@H](C(=O)Nc3ccncc3)NC(=O)c4c(F)cc(cc4)N5CC[NH+](CC5)Cc6ccc(F)cc6,72705636,2,72705636,"InChI=1S/C34H32F2N6O2.ClH/c35-25-7-5-23(6-8-25)22-41-15-17-42(18-16-41)27-9-10-29(30(36)20-27)33(43)40-32(34(44)39-26-11-13-37-14-12-26)19-24-21-38-31-4-2-1-3-28(24)31;/h1-14,20-21,32,38H,15-19,22H2,(H,40,43)(H,37,39,44);1H/t32-;/m0./s1",QNGZIANBAQQLOB-UCRKPPETSA-N,630.232158,C34H33ClF2N6O2,631.114626,93.4,774153,0,20.0,2-fluoro-4-[4-[(4-fluorophenyl)methyl]piperazin-1-yl]-N-[(2S)-3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl]benzamide;hydrochloride,2-fluoro-4-[4-(4-fluorobenzyl)piperazino]-N-[(1S)-1-(1H-indol-3-ylmethyl)-2-keto-2-(4-pyridylamino)ethyl]benzamide;hydrochloride,1,0,ligprep_3.sdf,381,55137,0,W2NIXTFbY0hdW2NIXVtjSF1jKGMxMilbbkhdW2NIXWMyW0NIMl1bQ0BASF0oQyg9TylbTkhdYzNbY0hdW2NIXW5bY0hdW2NIXTMpW05IXUMoPU8pYyhbY0hdW2NIXTQpYyhGKVtjSF1jNE4oW0NIMl1bQ0gyXTUpW0NIMl1bQ0gyXU41W0NIMl1jNltjSF1bY0hdYyhGKVtjSF1bY0hdNg==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0526,0.05,0.0026,0.0427,0.0926921162462223,1,1,,,S-OPLS,65.287,1,72705636-1,-133.781799316406,26.8378257751465,47.4182624816895,30.7512664794922,-2.50415015220642,178.825546264648,-102.437843322754,-312.672698974609,1,0.0461098477244377,72705636,,,,5,1,0,0,0,8,0,-1,594.663,8.272,1000.796,197.336,123.72,615.925,63.815,1823.943,2.25,8.75,0.0375192,0.0131146,0.7213739,67.585,21.204,31.789,17.331,6.422,-8.764,-8.392,-9.704,165.793,-0.949,175.49,-2.924,8.532,0.462,6,1.386,1,78.355,63.815,0.0,102.915,8,2,1,33,0,33,4,44,1.21739012142368e-06
c1cccc(c12)[nH]cc2C[C@@H](C(=O)Nc3ccncc3)NC(=O)c4c(F)cc(cc4)N5CCN(CC5)S(=O)(=O)c6ccccc6,72705461,2,72705461,"InChI=1S/C33H31FN6O4S/c34-29-21-25(39-16-18-40(19-17-39)45(43,44)26-6-2-1-3-7-26)10-11-28(29)32(41)38-31(33(42)37-24-12-14-35-15-13-24)20-23-22-36-30-9-5-4-8-27(23)30/h1-15,21-22,31,36H,16-20H2,(H,38,41)(H,35,37,42)/t31-/m0/s1",ZWFASLVCIYKVPI-HKBQPEDESA-N,626.211153,C33H31FN6O4S,626.700443,136.0,774153,0,3.0,4-[4-(benzenesulfonyl)piperazin-1-yl]-2-fluoro-N-[(2S)-3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl]benzamide,4-(4-besylpiperazino)-2-fluoro-N-[(1S)-1-(1H-indol-3-ylmethyl)-2-keto-2-(4-pyridylamino)ethyl]benzamide,1,0,ligprep_3.sdf,382,55137,0,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzFTKD1PKSg9TylOMltDSDJdW0NIMl1OKFtDSDJdW0NIMl0yKWMzW2NIXWMoRiljKFtjSF1bY0hdMylDKD1PKVtOSF1bQ0BIXShDKD1PKVtOSF1jNFtjSF1bY0hdbltjSF1bY0hdNClbQ0gyXWM1W2NIXVtuSF1jKGM1NilbY0hdW2NIXVtjSF1bY0hdNg==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0026,0.0,0.0026,0.0018,0.00179740777180659,0,0,,,S-OPLS,50.418412,1,72705461-1,-233.655487060547,23.5136795043945,45.1283340454102,16.5915908813477,3.48735809326172,161.412780761719,-318.894226074219,-164.895004272461,1,0.0497080162167549,72705461,,,,5,0,0,0,0,8,0,-2,626.704,11.412,1021.146,161.777,177.76,644.826,36.782,1869.34,2.25,11.25,0.0696652,0.0165256,0.718681,69.678,22.427,34.49,20.397,5.735,-9.284,-9.08,-9.159,204.267,-2.123,141.335,-1.756,8.615,0.916,4,0.997,1,75.959,36.782,0.0,137.385,10,2,1,33,0,33,4,45,5.72014513277574e-06
c1cccc(c12)[nH]cc2C[C@@H](C(=O)Nc3ccncc3)NC(=O)c4c(F)cc(cc4)N5CCOCC5,72705460,2,72705460,"InChI=1S/C27H26FN5O3/c28-23-16-20(33-11-13-36-14-12-33)5-6-22(23)26(34)32-25(27(35)31-19-7-9-29-10-8-19)15-18-17-30-24-4-2-1-3-21(18)24/h1-10,16-17,25,30H,11-15H2,(H,32,34)(H,29,31,35)/t25-/m0/s1",SOQRPSUSKVOKHL-VWLOTQADSA-N,487.201968,C27H26FN5O3,487.525443,99.4,774153,0,7.0,2-fluoro-N-[(2S)-3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl]-4-morpholin-4-ylbenzamide,2-fluoro-N-[(1S)-1-(1H-indol-3-ylmethyl)-2-keto-2-(4-pyridylamino)ethyl]-4-morpholino-benzamide,1,0,ligprep_3.sdf,383,55137,0,W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xYzJbY0hdYyhGKWMoW2NIXVtjSF0yKUMoPU8pW05IXVtDQEhdKEMoPU8pW05IXWMzW2NIXVtjSF1uW2NIXVtjSF0zKVtDSDJdYzRbY0hdW25IXWMoYzQ1KVtjSF1bY0hdW2NIXVtjSF01,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0026,0.0,0.0026,0.0018,0.00179740777180659,0,0,,,S-OPLS,39.851104,1,72705460-1,-228.481353759766,19.8143863677979,37.8751525878906,11.5473108291626,-1.93424355983734,135.533050537109,-320.166534423828,-111.150466918945,1,0.0390618368983269,72705460,,,,1,0,0,0,0,6,0,-1,487.532,5.843,791.443,216.695,115.61,422.483,36.655,1460.802,2.25,8.45,0.0233731,0.0160151,0.7866949,52.489,15.952,25.982,15.592,4.58,-6.671,-7.041,-6.998,793.545,-0.954,611.78,-1.586,8.626,0.435,5,0.622,1,100.0,36.655,0.0,106.602,8,0,1,27,0,27,4,36,0.0026995340127153
c1cccc(c12)[nH]cc2C[C@@H](C(=O)Nc3ccncc3)NC(=O)c4c(F)cc(cc4)Nc5ccccc5,72705459,2,72705459,"InChI=1S/C29H24FN5O2/c30-25-17-22(33-20-6-2-1-3-7-20)10-11-24(25)28(36)35-27(29(37)34-21-12-14-31-15-13-21)16-19-18-32-26-9-5-4-8-23(19)26/h1-15,17-18,27,32-33H,16H2,(H,35,36)(H,31,34,37)/t27-/m0/s1",HEONQAJZKOHILO-MHZLTWQESA-N,493.191403,C29H24FN5O2,493.531563,98.9,774153,0,25.0,4-anilino-2-fluoro-N-[(2S)-3-(1H-indol-3-yl)-1-oxo-1-(pyridin-4-ylamino)propan-2-yl]benzamide,4-anilino-2-fluoro-N-[(1S)-1-(1H-indol-3-ylmethyl)-2-keto-2-(4-pyridylamino)ethyl]benzamide,1,0,ligprep_3.sdf,384,55137,0,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzFbTkhdYyhbY0hdW2NIXTIpW2NIXWMoRiljMkMoPU8pW05IXVtDQEhdKEMoPU8pW05IXWMzW2NIXVtjSF1uW2NIXVtjSF0zKVtDSDJdYzRbY0hdW25IXWMoYzQ1KVtjSF1bY0hdW2NIXVtjSF01,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0026,0.0,0.0026,0.0018,0.00179740777180659,0,0,,,S-OPLS,43.091661,1,72705459-1,-415.038330078125,16.8781452178955,41.3631324768066,29.5200843811035,0.618386626243591,148.085815429688,-527.355773925781,-124.148139953613,1,0.0430592857301235,72705459,,,,4,0,0,0,0,8,0,-2,493.539,11.387,861.661,35.363,127.094,662.997,36.207,1535.854,3.25,6.25,0.0844282,0.0130763,0.7471283,56.506,18.949,28.683,16.331,5.912,-8.131,-8.164,-8.786,617.547,-1.348,463.908,-0.758,8.371,0.565,6,1.031,1,100.0,36.207,0.0,105.234,7,1,1,27,0,27,0,37,0.000637664468794673
